"","rusher_player_name","rusher_player_id","posteam","defteam","yards_gained_rush"
"130","B.Young","00-0039150","CAR","NO",4
"131","J.Mingo","00-0039062","CAR","NO",3
"132","Ja.Williams","00-0033948","NO","CAR",2
"133","Ja.Williams","00-0033948","NO","CAR",5
"134","B.Young","00-0039150","CAR","NO",4
"135","M.Sanders","00-0035243","CAR","NO",8
"136","C.Hubbard","00-0036555","CAR","NO",-2
"137","D.Carr","00-0031280","NO","CAR",8
"138","A.Kamara","00-0033906","NO","CAR",4
"139","T.Hill","00-0033357","NO","CAR",7
"140","A.Kamara","00-0033906","NO","CAR",5
"141","A.Kamara","00-0033906","NO","CAR",2
"142","A.Kamara","00-0033906","NO","CAR",1
"143","C.Hubbard","00-0036555","CAR","NO",1
"144","B.Young","00-0039150","CAR","NO",3
"145","Ja.Williams","00-0033948","NO","CAR",2
"146","Ja.Williams","00-0033948","NO","CAR",6
"147","A.Kamara","00-0033906","NO","CAR",1
"148","Ja.Williams","00-0033948","NO","CAR",3
"149","Ja.Williams","00-0033948","NO","CAR",-2
"150","D.Carr","00-0031280","NO","CAR",5
"151","Ja.Williams","00-0033948","NO","CAR",1
"152","Ja.Williams","00-0033948","NO","CAR",-1
"153","M.Sanders","00-0035243","CAR","NO",2
"154","Ja.Williams","00-0033948","NO","CAR",14
"155","C.Hubbard","00-0036555","CAR","NO",1
"156","Ja.Williams","00-0033948","NO","CAR",4
"157","J.Mims","00-0038678","NO","CAR",4
"158","J.Mims","00-0038678","NO","CAR",0
"159","M.Sanders","00-0035243","CAR","NO",5
"160","J.Mims","00-0038678","NO","CAR",2
"161","J.Mims","00-0038678","NO","CAR",5
"162","M.Boone","00-0034208","CAR","NO",5
"163","M.Boone","00-0034208","CAR","NO",1
"164","M.Boone","00-0034208","CAR","NO",1
"165","M.Boone","00-0034208","CAR","NO",0
"166","E.Elliott","00-0033045","DAL","CLE",8
"167","J.Ford","00-0037267","CLE","DAL",4
"168","D.Watson","00-0033537","CLE","DAL",8
"169","C.Lamb","00-0036358","DAL","CLE",10
"170","R.Dowdle","00-0036139","DAL","CLE",5
"171","J.Ford","00-0037267","CLE","DAL",0
"172","E.Elliott","00-0033045","DAL","CLE",1
"173","E.Elliott","00-0033045","DAL","CLE",7
"174","E.Elliott","00-0033045","DAL","CLE",1
"175","R.Dowdle","00-0036139","DAL","CLE",2
"176","J.Ford","00-0037267","CLE","DAL",1
"177","E.Elliott","00-0033045","DAL","CLE",9
"178","D.Prescott","00-0033077","DAL","CLE",3
"179","C.Lamb","00-0036358","DAL","CLE",12
"180","E.Elliott","00-0033045","DAL","CLE",3
"181","R.Dowdle","00-0036139","DAL","CLE",6
"182","E.Elliott","00-0033045","DAL","CLE",3
"183","R.Dowdle","00-0036139","DAL","CLE",-1
"184","D.Vaughn","00-0038622","DAL","CLE",4
"185","J.Ford","00-0037267","CLE","DAL",6
"186","E.Elliott","00-0033045","DAL","CLE",3
"187","P.Strong","00-0038098","CLE","DAL",4
"188","J.Ford","00-0037267","CLE","DAL",4
"189","J.Ford","00-0037267","CLE","DAL",4
"190","C.Lamb","00-0036358","DAL","CLE",3
"191","E.Elliott","00-0033045","DAL","CLE",2
"192","J.Ford","00-0037267","CLE","DAL",6
"193","J.Ford","00-0037267","CLE","DAL",-2
"194","R.Dowdle","00-0036139","DAL","CLE",5
"195","R.Dowdle","00-0036139","DAL","CLE",10
"196","R.Dowdle","00-0036139","DAL","CLE",1
"197","D.Watson","00-0033537","CLE","DAL",3
"198","E.Elliott","00-0033045","DAL","CLE",3
"199","B.Cooks","00-0031236","DAL","CLE",5
"200","J.Ford","00-0037267","CLE","DAL",11
"201","R.Dowdle","00-0036139","DAL","CLE",-2
"202","D.Watson","00-0033537","CLE","DAL",6
"203","D.Watson","00-0033537","CLE","DAL",6
"204","P.Strong","00-0038098","CLE","DAL",6
"205","J.Ford","00-0037267","CLE","DAL",4
"206","D.Watson","00-0033537","CLE","DAL",16
"207","J.Ford","00-0037267","CLE","DAL",4
"208","J.Ford","00-0037267","CLE","DAL",2
"209","J.Williams","00-0036997","DEN","SEA",9
"210","J.Williams","00-0036997","DEN","SEA",-1
"211","K.Walker","00-0038134","SEA","DEN",8
"212","K.Walker","00-0038134","SEA","DEN",3
"213","K.Walker","00-0038134","SEA","DEN",-3
"214","J.Williams","00-0036997","DEN","SEA",3
"215","J.McLaughlin","00-0038794","DEN","SEA",4
"216","Z.Charbonnet","00-0039165","SEA","DEN",4
"217","K.Walker","00-0038134","SEA","DEN",3
"218","B.Nix","00-0039732","DEN","SEA",3
"219","J.Williams","00-0036997","DEN","SEA",4
"220","A.Estime","00-0039373","DEN","SEA",12
"221","J.Williams","00-0036997","DEN","SEA",4
"222","J.McLaughlin","00-0038794","DEN","SEA",7
"223","B.Nix","00-0039732","DEN","SEA",4
"224","J.McLaughlin","00-0038794","DEN","SEA",1
"225","J.Williams","00-0036997","DEN","SEA",2
"226","K.Walker","00-0038134","SEA","DEN",3
"227","K.Walker","00-0038134","SEA","DEN",-4
"228","G.Smith","00-0030565","SEA","DEN",34
"229","J.McLaughlin","00-0038794","DEN","SEA",1
"230","Z.Charbonnet","00-0039165","SEA","DEN",-1
"231","J.Williams","00-0036997","DEN","SEA",2
"232","J.McLaughlin","00-0038794","DEN","SEA",4
"233","K.Walker","00-0038134","SEA","DEN",9
"234","B.Nix","00-0039732","DEN","SEA",1
"235","J.McLaughlin","00-0038794","DEN","SEA",-4
"236","K.Walker","00-0038134","SEA","DEN",5
"237","K.Walker","00-0038134","SEA","DEN",6
"238","K.Walker","00-0038134","SEA","DEN",15
"239","K.Walker","00-0038134","SEA","DEN",4
"240","K.Walker","00-0038134","SEA","DEN",23
"241","J.McLaughlin","00-0038794","DEN","SEA",15
"242","A.Estime","00-0039373","DEN","SEA",2
"243","J.McLaughlin","00-0038794","DEN","SEA",-3
"244","Z.Charbonnet","00-0039165","SEA","DEN",6
"245","Z.Charbonnet","00-0039165","SEA","DEN",3
"246","K.Walker","00-0038134","SEA","DEN",2
"247","K.Walker","00-0038134","SEA","DEN",8
"248","K.Walker","00-0038134","SEA","DEN",2
"249","K.Walker","00-0038134","SEA","DEN",4
"250","J.McLaughlin","00-0038794","DEN","SEA",1
"251","K.Walker","00-0038134","SEA","DEN",0
"252","K.Walker","00-0038134","SEA","DEN",12
"253","J.Williams","00-0036997","DEN","SEA",0
"254","K.Walker","00-0038134","SEA","DEN",-4
"255","L.Shenault","00-0036268","SEA","DEN",1
"256","K.Walker","00-0038134","SEA","DEN",7
"257","J.McLaughlin","00-0038794","DEN","SEA",1
"258","Z.Charbonnet","00-0039165","SEA","DEN",1
"259","Z.Charbonnet","00-0039165","SEA","DEN",0
"260","B.Nix","00-0039732","DEN","SEA",23
"261","B.Nix","00-0039732","DEN","SEA",4
"262","Z.Charbonnet","00-0039165","SEA","DEN",0
"263","Z.Charbonnet","00-0039165","SEA","DEN",-1
"264","J.Jacobs","00-0035700","GB","PHI",-1
"265","J.Jacobs","00-0035700","GB","PHI",4
"266","J.Jacobs","00-0035700","GB","PHI",0
"267","S.Barkley","00-0034844","PHI","GB",-5
"268","J.Jacobs","00-0035700","GB","PHI",0
"269","S.Barkley","00-0034844","PHI","GB",3
"270","J.Hurts","00-0036389","PHI","GB",0
"271","J.Jacobs","00-0035700","GB","PHI",-1
"272","J.Jacobs","00-0035700","GB","PHI",2
"273","S.Barkley","00-0034844","PHI","GB",5
"274","J.Hurts","00-0036389","PHI","GB",2
"275","J.Hurts","00-0036389","PHI","GB",0
"276","S.Barkley","00-0034844","PHI","GB",11
"277","S.Barkley","00-0034844","PHI","GB",-1
"278","Em.Wilson","00-0038797","GB","PHI",14
"279","Em.Wilson","00-0038797","GB","PHI",5
"280","Em.Wilson","00-0038797","GB","PHI",18
"281","J.Reed","00-0039146","GB","PHI",33
"282","J.Jacobs","00-0035700","GB","PHI",0
"283","S.Barkley","00-0034844","PHI","GB",2
"284","J.Hurts","00-0036389","PHI","GB",1
"285","J.Hurts","00-0036389","PHI","GB",4
"286","J.Hurts","00-0036389","PHI","GB",2
"287","S.Barkley","00-0034844","PHI","GB",11
"288","S.Barkley","00-0034844","PHI","GB",3
"289","S.Barkley","00-0034844","PHI","GB",2
"290","J.Hurts","00-0036389","PHI","GB",5
"291","K.Gainwell","00-0036919","PHI","GB",2
