"","kicker_player_name","kicker_player_id","yardline_100","result"
"692","B.Aubrey","00-0037692",17,0
"693","A.Seibert","00-0035145",23,1
"694","B.Aubrey","00-0037692",24,0
"695","A.Seibert","00-0035145",32,0
"696","B.Aubrey","00-0037692",28,1
"697","B.Aubrey","00-0037692",30,1
"698","A.Seibert","00-0035145",33,1
"699","W.Lutz","00-0032569",20,1
"700","W.Lutz","00-0032569",35,1
"701","D.Carlson","00-0034161",16,1
"702","W.Lutz","00-0032569",36,1
"703","D.Carlson","00-0034161",16,1
"704","W.Lutz","00-0032569",26,1
"705","D.Carlson","00-0034161",35,1
"706","D.Carlson","00-0034161",4,1
"707","W.Lutz","00-0032569",15,1
"708","M.Gay","00-0035269",9,1
"709","M.Gay","00-0035269",11,1
"710","J.Bates","00-0039172",38,1
"711","E.Pineiro","00-0034173",12,1
"712","S.Shrader","00-0039576",7,1
"713","E.Pineiro","00-0034173",13,1
"714","S.Shrader","00-0039576",23,1
"715","E.Pineiro","00-0034173",11,1
"716","E.Pineiro","00-0034173",15,1
"717","S.Shrader","00-0039576",13,1
"718","C.Santos","00-0031203",30,0
"719","C.Santos","00-0031203",31,1
"720","J.Romo","00-0037542",22,1
"721","J.Romo","00-0037542",7,1
"722","C.Santos","00-0031203",30,1
"723","J.Romo","00-0037542",11,1
"724","J.Slye","00-0035192",27,0
"725","J.Sanders","00-0034794",3,1
"726","J.Sanders","00-0034794",33,1
"727","J.Elliott","00-0033787",3,1
"728","J.Elliott","00-0033787",13,1
"729","J.Karty","00-0039750",29,0
"730","J.Elliott","00-0033787",8,1
"731","C.Boswell","00-0031136",40,0
"732","C.Boswell","00-0031136",30,1
"733","D.Hopkins","00-0030098",16,1
"734","C.Boswell","00-0031136",9,1
"735","B.McManus","00-0029822",32,1
"736","J.Moody","00-0038562",30,1
"737","C.McLaughlin","00-0035358",4,1
"738","N.Folk","00-0025565",33,1
"739","K.Fairbairn","00-0032726",10,1
"740","N.Folk","00-0025565",38,1
"741","N.Folk","00-0025565",32,1
"742","K.Fairbairn","00-0032726",36,1
"743","K.Fairbairn","00-0032726",10,0
"744","C.Ryland","00-0038567",13,1
"745","J.Romo","00-0037542",26,1
"746","C.Ryland","00-0038567",27,0
"747","C.Ryland","00-0038567",13,1
"748","J.Romo","00-0037542",37,1
"749","C.Ryland","00-0038567",6,1
"750","J.Romo","00-0037542",25,0
"751","C.Ryland","00-0038567",22,1
"752","J.Romo","00-0037542",13,1
"753","C.Ryland","00-0038567",4,1
"754","J.Bates","00-0039172",12,1
"755","J.Bates","00-0039172",18,1
"756","J.Bates","00-0039172",30,1
"757","J.Bates","00-0039172",26,0
"758","D.Hopkins","00-0030098",29,0
"759","D.Hopkins","00-0030098",27,1
"760","W.Lutz","00-0032569",18,1
"761","W.Lutz","00-0032569",9,1
"762","K.Fairbairn","00-0032726",35,1
"763","K.Fairbairn","00-0032726",11,1
"764","C.Little","00-0039409",15,1
"765","C.Little","00-0039409",12,1
"766","K.Fairbairn","00-0032726",10,1
"767","C.Little","00-0039409",37,0
"768","J.Slye","00-0035192",16,1
"769","J.Slye","00-0035192",13,1
"770","J.Slye","00-0035192",36,1
"771","J.Slye","00-0035192",7,0
"772","M.Gay","00-0035269",7,1
"773","J.Slye","00-0035192",50,0
"774","Y.Koo","00-0033702",17,0
"775","C.Dicker","00-0037224",27,1
"776","C.Dicker","00-0037224",33,1
"777","C.Dicker","00-0037224",16,1
