"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch","yards_gained_pass","defteam","interception"
"4934","C.Sutton","00-0034348","B.Nix","00-0039732",0,7,NA,0,"LV",0
"4935","B.Bowers","00-0039338","G.Minshew","00-0035289",1,0,1,1,"DEN",0
"4936","J.Meyers","00-0034960","G.Minshew","00-0035289",1,17,1,18,"DEN",0
"4937","A.Mattison","00-0034972","G.Minshew","00-0035289",1,-4,16,12,"DEN",0
"4938","A.Abdullah","00-0032104","G.Minshew","00-0035289",1,-5,4,-1,"DEN",0
"4939","T.Tucker","00-0038563","G.Minshew","00-0035289",1,4,2,6,"DEN",0
"4940","L.Humphrey","00-0035406","B.Nix","00-0039732",1,18,3,21,"LV",0
"4941",NA,NA,"B.Nix","00-0039732",0,NA,NA,-13,"LV",0
"4942","J.McLaughlin","00-0038794","B.Nix","00-0039732",1,-7,11,4,"LV",0
"4943","J.Williams","00-0036997","B.Nix","00-0039732",1,0,13,13,"LV",0
"4944","A.Mattison","00-0034972","G.Minshew","00-0035289",1,2,9,11,"DEN",0
"4945","B.Bowers","00-0039338","G.Minshew","00-0035289",1,-4,12,8,"DEN",0
"4946","B.Bowers","00-0039338","G.Minshew","00-0035289",0,5,NA,0,"DEN",1
"4947","J.Meyers","00-0034960","G.Minshew","00-0035289",1,-1,2,1,"DEN",0
"4948","J.Meyers","00-0034960","G.Minshew","00-0035289",0,10,NA,0,"DEN",0
"4949","J.McLaughlin","00-0038794","B.Nix","00-0039732",0,-6,NA,0,"LV",0
"4950","J.Williams","00-0036997","B.Nix","00-0039732",1,-2,4,2,"LV",0
"4951","B.Bowers","00-0039338","G.Minshew","00-0035289",0,20,NA,0,"DEN",0
"4952","J.Williams","00-0036997","B.Nix","00-0039732",1,0,6,6,"LV",0
"4953","J.Williams","00-0036997","B.Nix","00-0039732",1,-5,31,26,"LV",0
"4954",NA,NA,"B.Nix","00-0039732",0,NA,NA,-7,"LV",0
"4955","L.Krull","00-0037539","B.Nix","00-0039732",1,1,4,5,"LV",0
"4956","C.Sutton","00-0034348","B.Nix","00-0039732",0,16,NA,0,"LV",0
"4957","C.Sutton","00-0034348","B.Nix","00-0039732",0,21,NA,0,"LV",0
"4958","J.Williams","00-0036997","B.Nix","00-0039732",1,2,1,3,"LV",0
"4959","T.Franklin","00-0039868","B.Nix","00-0039732",1,20,0,20,"LV",0
