"","rusher_player_name","pos_team","yards_gained"
"12056","T.Bigsby","JAX",6
"12057","T.Bigsby","JAX",6
"12058","T.Etienne","JAX",-1
"12059","A.Mattison","LV",6
"12060","A.Mattison","LV",3
"12061","A.Mattison","LV",-1
"12062","A.Abdullah","LV",6
"12063","T.Bigsby","JAX",1
"12064","A.Abdullah","LV",6
"12065","A.Abdullah","LV",7
"12066","T.Etienne","JAX",-4
"12067","A.Mattison","LV",1
"12068","A.Mattison","LV",1
"12069","A.O'Connell","LV",2
"12070","A.Abdullah","LV",-2
"12071","A.Abdullah","LV",6
"12072","A.Mattison","LV",3
"12073","K.Williams","LA",3
"12074","K.Williams","LA",7
"12075","K.Williams","LA",9
"12076","K.Williams","LA",8
"12077","K.Williams","LA",0
"12078","K.Williams","LA",3
"12079","B.Corum","LA",3
"12080","B.Hall","NYJ",7
"12081","B.Hall","NYJ",5
"12082","B.Hall","NYJ",3
"12083","B.Allen","NYJ",1
"12084","B.Hall","NYJ",3
"12085","B.Hall","NYJ",1
"12086","B.Corum","LA",3
"12087","B.Corum","LA",0
"12088","B.Corum","LA",7
"12089","K.Williams","LA",3
"12090","K.Williams","LA",10
"12091","B.Hall","NYJ",0
"12092","K.Williams","LA",13
"12093","K.Williams","LA",2
"12094","B.Hall","NYJ",7
"12095","B.Hall","NYJ",4
"12096","B.Hall","NYJ",3
"12097","B.Hall","NYJ",3
"12098","B.Hall","NYJ",4
"12099","A.Rodgers","NYJ",6
"12100","I.Davis","NYJ",9
"12101","I.Davis","NYJ",1
"12102","I.Davis","NYJ",2
"12103","B.Hall","NYJ",2
"12104","B.Allen","NYJ",4
"12105","K.Williams","LA",8
"12106","K.Williams","LA",9
"12107","K.Williams","LA",6
"12108","K.Williams","LA",8
"12109","K.Williams","LA",4
"12110","B.Corum","LA",1
"12111","K.Williams","LA",5
"12112","B.Hall","NYJ",3
"12113","K.Williams","LA",8
"12114","K.Williams","LA",2
"12115","B.Hall","NYJ",7
"12116","K.Williams","LA",1
"12117","K.Williams","LA",8
"12118","K.Williams","LA",3
"12119","K.Williams","LA",2
"12120","K.Williams","LA",0
"12121","A.Jones","MIN",14
"12122","A.Jones","MIN",3
"12123","A.Jones","MIN",3
"12124","A.Jones","MIN",0
"12125","K.Walker","SEA",6
"12126","K.Walker","SEA",2
"12127","A.Jones","MIN",9
"12128","A.Jones","MIN",5
"12129","A.Jones","MIN",5
"12130","A.Jones","MIN",5
"12131","K.Walker","SEA",11
"12132","J.Smith-Njigba","SEA",5
"12133","C.Akers","MIN",3
"12134","A.Jones","MIN",2
"12135","A.Jones","MIN",1
"12136","A.Jones","MIN",2
"12137","A.Jones","MIN",2
"12138","K.Walker","SEA",1
"12139","K.McIntosh","SEA",2
"12140","A.Jones","MIN",4
"12141","A.Jones","MIN",3
"12142","K.Walker","SEA",2
"12143","A.Jones","MIN",5
"12144","A.Jones","MIN",1
"12145","K.Walker","SEA",5
"12146","J.Love","SEA",2
"12147","S.Darnold","MIN",5
"12148","K.McIntosh","SEA",9
"12149","K.McIntosh","SEA",3
"12150","G.Smith","SEA",8
"12151","K.Walker","SEA",4
"12152","K.Walker","SEA",0
"12153","Z.Charbonnet","SEA",-1
"12154","S.Darnold","MIN",9
"12155","A.Jones","MIN",1
"12156","A.Jones","MIN",2
"12157","R.Stevenson","NE",2
"12158","A.Gibson","NE",6
"12159","J.Cook","BUF",4
"12160","J.Allen","BUF",2
"12161","R.Davis","BUF",0
"12162","R.Stevenson","NE",14
"12163","R.Stevenson","NE",5
"12164","R.Stevenson","NE",5
"12165","A.Gibson","NE",0
"12166","D.Maye","NE",10
"12167","R.Stevenson","NE",-2
"12168","R.Stevenson","NE",2
"12169","R.Stevenson","NE",6
"12170","R.Stevenson","NE",14
"12171","Ty.Johnson","BUF",5
"12172","J.Cook","BUF",46
"12173","D.Maye","NE",1
"12174","R.Stevenson","NE",3
"12175","D.Douglas","NE",6
"12176","A.Gibson","NE",0
"12177","D.Pettus","NE",2
"12178","A.Gibson","NE",6
"12179","J.Allen","BUF",4
"12180","J.Cook","BUF",25
