coach,down,red_zone,distance,pass_prob,run_prob,fg_prob,punt_prob
Zac Taylor,2,FALSE,Mid,0.601321586,0.398678414,0,0
Zac Taylor,2,FALSE,Long,0.759162304,0.239965096,0.0008726,0
Zac Taylor,3,TRUE,Short,0.535714286,0.446428571,0.017857143,0
Zac Taylor,3,TRUE,Mid,0.796296296,0.148148148,0.055555556,0
Zac Taylor,3,TRUE,Long,0.890410959,0.068493151,0.04109589,0
Zac Taylor,3,FALSE,Short,0.600682594,0.399317406,0,0
Zac Taylor,3,FALSE,Mid,0.912891986,0.087108014,0,0
Zac Taylor,3,FALSE,Long,0.879712747,0.114901257,0.005385996,0
Zac Taylor,4,TRUE,Short,0.270833333,0.229166667,0.5,0
Zac Taylor,4,TRUE,Mid,0.153846154,0.076923077,0.769230769,0
Zac Taylor,4,TRUE,Long,0.0625,0,0.9375,0
Zac Taylor,4,FALSE,Short,0.26056338,0.161971831,0.098591549,0.478873239
Zac Taylor,4,FALSE,Mid,0.130434783,0.014492754,0.18115942,0.673913043
Zac Taylor,4,FALSE,Long,0.037572254,0.005780347,0.193641618,0.76300578
Brian Schottenheimer,1,TRUE,All,0.380406213,0.616487455,0.003106332,0
Brian Schottenheimer,1,FALSE,All,0.499012042,0.499496701,0.001491258,0
Brian Schottenheimer,2,TRUE,Short,0.335436893,0.662621359,0.001941748,0
Brian Schottenheimer,2,TRUE,Mid,0.512845371,0.483276781,0.003877848,0
Brian Schottenheimer,2,TRUE,Long,0.651206518,0.337511752,0.01128173,0
Brian Schottenheimer,2,FALSE,Short,0.365905849,0.632489301,0.00160485,0
Brian Schottenheimer,2,FALSE,Mid,0.506609385,0.492068738,0.001321877,0
