"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch"
"1797","C.Ridley","00-0034837","W.Levis","00-0039152",1,39,1
"1798","G.Wilson","00-0037740","A.Rodgers","00-0023459",1,9,0
"1799","G.Wilson","00-0037740","A.Rodgers","00-0023459",0,9,NA
"1800","B.Hall","00-0038120","A.Rodgers","00-0023459",1,0,0
"1801","C.Okonkwo","00-0037809","W.Levis","00-0039152",1,0,1
"1802","A.Lazard","00-0034521","A.Rodgers","00-0023459",0,43,NA
"1803","T.Pollard","00-0035261","W.Levis","00-0039152",1,-4,6
"1804","T.Boyd","00-0033009","W.Levis","00-0039152",0,9,NA
"1805","B.Hall","00-0038120","A.Rodgers","00-0023459",1,-1,7
"1806","A.Lazard","00-0034521","A.Rodgers","00-0023459",1,3,0
"1807","G.Wilson","00-0037740","A.Rodgers","00-0023459",1,18,8
"1808","M.Williams","00-0033536","A.Rodgers","00-0023459",1,17,2
"1809","B.Hall","00-0038120","A.Rodgers","00-0023459",1,-4,10
"1810","C.Ridley","00-0034837","W.Levis","00-0039152",1,5,1
"1811","T.Pollard","00-0035261","W.Levis","00-0039152",1,3,0
"1812","C.Ridley","00-0034837","W.Levis","00-0039152",0,52,NA
"1813","C.Ridley","00-0034837","W.Levis","00-0039152",1,16,0
"1814","D.Hopkins","00-0030564","W.Levis","00-0039152",0,8,NA
"1815",NA,NA,"W.Levis","00-0039152",0,NA,NA
"1816","T.Boyd","00-0033009","W.Levis","00-0039152",0,12,NA
"1817","G.Dulcich","00-0037252","B.Nix","00-0039732",1,7,0
"1818","N.Harris","00-0036893","J.Fields","00-0036945",0,-3,NA
"1819","J.Williams","00-0036997","B.Nix","00-0039732",1,3,3
"1820",NA,NA,"B.Nix","00-0039732",0,NA,NA
"1821","G.Pickens","00-0037247","J.Fields","00-0036945",1,7,6
"1822","P.Freiermuth","00-0036894","J.Fields","00-0036945",1,13,1
"1823",NA,NA,"J.Fields","00-0036945",0,NA,NA
"1824","D.Washington","00-0038558","J.Fields","00-0036945",1,5,0
"1825","M.Burton","00-0031595","B.Nix","00-0039732",1,1,0
"1826","L.Humphrey","00-0035406","B.Nix","00-0039732",1,-2,8
"1827","J.Williams","00-0036997","B.Nix","00-0039732",1,3,4
"1828","G.Dulcich","00-0037252","B.Nix","00-0039732",0,24,NA
"1829","J.Reynolds","00-0033943","B.Nix","00-0039732",0,7,NA
"1830","J.Warren","00-0037228","J.Fields","00-0036945",1,-1,13
"1831",NA,NA,"J.Fields","00-0036945",0,5,NA
"1832","G.Pickens","00-0037247","J.Fields","00-0036945",1,16,0
"1833","N.Harris","00-0036893","J.Fields","00-0036945",1,2,3
"1834","P.Freiermuth","00-0036894","J.Fields","00-0036945",1,6,5
"1835","L.Humphrey","00-0035406","B.Nix","00-0039732",1,4,0
"1836",NA,NA,"B.Nix","00-0039732",0,5,NA
"1837",NA,NA,"B.Nix","00-0039732",0,NA,NA
"1838","M.Mims","00-0038976","B.Nix","00-0039732",1,2,6
"1839","T.Franklin","00-0039868","B.Nix","00-0039732",0,-2,NA
"1840",NA,NA,"J.Fields","00-0036945",0,NA,NA
"1841","C.Austin","00-0037837","J.Fields","00-0036945",1,6,0
"1842","J.Warren","00-0037228","J.Fields","00-0036945",1,1,6
"1843","V.Jefferson","00-0036415","J.Fields","00-0036945",1,5,7
"1844","P.Freiermuth","00-0036894","J.Fields","00-0036945",1,3,6
"1845",NA,NA,"J.Fields","00-0036945",0,3,NA
"1846","G.Pickens","00-0037247","J.Fields","00-0036945",0,20,NA
"1847","J.Reynolds","00-0033943","B.Nix","00-0039732",1,4,5
"1848","V.Jefferson","00-0036415","J.Fields","00-0036945",1,2,0
"1849","V.Jefferson","00-0036415","J.Fields","00-0036945",0,33,NA
"1850","G.Dulcich","00-0037252","B.Nix","00-0039732",0,11,NA
"1851","C.Sutton","00-0034348","B.Nix","00-0039732",1,19,7
"1852","J.Reynolds","00-0033943","B.Nix","00-0039732",1,45,4
"1853","C.Sutton","00-0034348","B.Nix","00-0039732",0,6,NA
"1854","P.Freiermuth","00-0036894","J.Fields","00-0036945",1,0,5
"1855","M.Mims","00-0038976","B.Nix","00-0039732",0,53,NA
"1856","C.Austin","00-0037837","J.Fields","00-0036945",0,17,NA
"1857","J.Williams","00-0036997","B.Nix","00-0039732",1,-6,14
"1858","N.Adkins","00-0038783","B.Nix","00-0039732",0,23,NA
"1859","G.Dulcich","00-0037252","B.Nix","00-0039732",1,-4,4
"1860","G.Dulcich","00-0037252","B.Nix","00-0039732",0,6,NA
"1861","J.Williams","00-0036997","B.Nix","00-0039732",1,3,11
"1862","J.Reynolds","00-0033943","B.Nix","00-0039732",1,10,12
"1863","T.Badie","00-0037085","B.Nix","00-0039732",1,2,0
"1864","C.Sutton","00-0034348","B.Nix","00-0039732",0,9,NA
"1865","G.Pickens","00-0037247","J.Fields","00-0036945",0,5,NA
"1866","G.Dulcich","00-0037252","B.Nix","00-0039732",0,6,NA
"1867","L.Humphrey","00-0035406","B.Nix","00-0039732",0,11,NA
"1868","G.Dulcich","00-0037252","B.Nix","00-0039732",1,3,6
"1869","L.Humphrey","00-0035406","B.Nix","00-0039732",1,9,18
"1870","L.Humphrey","00-0035406","B.Nix","00-0039732",1,3,10
"1871","J.Williams","00-0036997","B.Nix","00-0039732",1,-3,16
"1872","G.Dulcich","00-0037252","B.Nix","00-0039732",0,10,NA
"1873","C.Sutton","00-0034348","B.Nix","00-0039732",0,11,NA
"1874","J.Reynolds","00-0033943","B.Nix","00-0039732",1,16,-3
"1875",NA,NA,"B.Nix","00-0039732",0,26,NA
"1876","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,0,7
"1877",NA,NA,"J.Brissett","00-0033119",0,NA,NA
"1878","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,3,5
"1879","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,2,1
"1880","T.Lockett","00-0032211","G.Smith","00-0030565",1,-3,2
"1881",NA,NA,"G.Smith","00-0030565",0,NA,NA
"1882","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",0,18,NA
"1883","H.Henry","00-0033090","J.Brissett","00-0033119",1,6,2
"1884","H.Henry","00-0033090","J.Brissett","00-0033119",1,9,3
"1885","H.Henry","00-0033090","J.Brissett","00-0033119",1,10,7
"1886","J.Polk","00-0039907","J.Brissett","00-0033119",1,5,0
"1887","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,5,0
"1888","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,0,6
"1889","D.Metcalf","00-0035640","G.Smith","00-0030565",1,32,24
"1890","A.Hooper","00-0032392","J.Brissett","00-0033119",1,3,2
"1891","H.Henry","00-0033090","J.Brissett","00-0033119",1,10,0
"1892","K.Osborn","00-0036345","J.Brissett","00-0033119",0,6,NA
"1893","H.Henry","00-0033090","J.Brissett","00-0033119",1,8,1
"1894","H.Henry","00-0033090","J.Brissett","00-0033119",1,4,3
"1895","R.Stevenson","00-0036875","J.Brissett","00-0033119",0,13,NA
"1896","R.Stevenson","00-0036875","J.Brissett","00-0033119",1,-3,5
"1897","H.Henry","00-0033090","J.Brissett","00-0033119",0,7,NA
"1898","L.Shenault","00-0036268","G.Smith","00-0030565",1,-5,11
"1899","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,5,14
"1900","D.Metcalf","00-0035640","G.Smith","00-0030565",0,28,NA
"1901","Z.Charbonnet","00-0039165","G.Smith","00-0030565",1,4,0
"1902","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,16,0
"1903","D.Metcalf","00-0035640","G.Smith","00-0030565",1,0,3
"1904","H.Henry","00-0033090","J.Brissett","00-0033119",1,-4,39
"1905","J.Polk","00-0039907","J.Brissett","00-0033119",0,15,NA
"1906",NA,NA,"J.Brissett","00-0033119",0,11,NA
"1907","R.Stevenson","00-0036875","J.Brissett","00-0033119",0,3,NA
"1908","D.Metcalf","00-0035640","G.Smith","00-0030565",1,1,9
"1909","Z.Charbonnet","00-0039165","G.Smith","00-0030565",1,-5,9
"1910","H.Henry","00-0033090","J.Brissett","00-0033119",0,4,NA
"1911","H.Henry","00-0033090","J.Brissett","00-0033119",0,10,NA
"1912","Z.Charbonnet","00-0039165","G.Smith","00-0030565",1,1,6
"1913",NA,NA,"G.Smith","00-0030565",0,NA,NA
"1914","N.Fant","00-0035644","G.Smith","00-0030565",1,7,7
"1915","D.Metcalf","00-0035640","G.Smith","00-0030565",1,5,4
"1916","D.Metcalf","00-0035640","G.Smith","00-0030565",0,15,NA
"1917","D.Metcalf","00-0035640","G.Smith","00-0030565",1,0,3
"1918","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,18,6
"1919","J.Bobo","00-0038752","G.Smith","00-0030565",1,8,1
"1920","D.Metcalf","00-0035640","G.Smith","00-0030565",1,-1,1
"1921","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",0,25,NA
"1922","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,8,6
"1923","D.Metcalf","00-0035640","G.Smith","00-0030565",0,5,NA
"1924","N.Fant","00-0035644","G.Smith","00-0030565",0,4,NA
"1925",NA,NA,"J.Brissett","00-0033119",0,-4,NA
"1926",NA,NA,"J.Brissett","00-0033119",0,8,NA
"1927",NA,NA,"J.Brissett","00-0033119",0,NA,NA
"1928","D.Metcalf","00-0035640","G.Smith","00-0030565",0,43,NA
"1929","J.Bobo","00-0038752","G.Smith","00-0030565",1,3,3
"1930","A.Gibson","00-0036328","J.Brissett","00-0033119",1,2,5
"1931","H.Henry","00-0033090","J.Brissett","00-0033119",1,2,9
"1932","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,6,0
"1933","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",0,20,NA
"1934",NA,NA,"G.Smith","00-0030565",0,NA,NA
"1935","D.Metcalf","00-0035640","G.Smith","00-0030565",1,3,12
"1936",NA,NA,"J.Brissett","00-0033119",0,NA,NA
"1937","J.Smith-Njigba","00-0038543","G.Smith","00-0030565",1,5,2
"1938","Z.Charbonnet","00-0039165","G.Smith","00-0030565",1,2,7
"1939","D.Metcalf","00-0035640","G.Smith","00-0030565",1,14,0
"1940","N.Fant","00-0035644","G.Smith","00-0030565",0,6,NA
"1941","D.Metcalf","00-0035640","G.Smith","00-0030565",1,5,4
